dataset, model, algo, gflops, ratio ,acc
imdb, distilbert-base-uncased, none, 24.061701980867163, 1.0, 92.99424184261049
imdb, distilbert-base-uncased, pitome, 13.518962468360993, 0.8, 92.61836212412035
imdb, distilbert-base-uncased, tome, 13.480740802088508, 0.8, 92.45041586692268
imdb, distilbert-base-uncased, tofu, 13.474571334265095, 0.8, 92.55438259756886
imdb, distilbert-base-uncased, pitome, 11.522793525558281, 0.75, 92.55047984644938
imdb, distilbert-base-uncased, tome, 11.480040992429656, 0.75, 92.54838451695467
imdb, distilbert-base-uncased, tofu, 11.47850947808033, 0.75, 92.33645233525284
imdb, distilbert-base-uncased, pitome, 9.797399417366597, 0.7, 92.06663467690344
imdb, distilbert-base-uncased, tome, 9.792766552445292, 0.7, 91.96057261676266
imdb, distilbert-base-uncased, tofu, 9.799300917558531, 0.7, 91.91658669225863
