dataset,model,algo,gflops,ratio,txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,r_sum,train time,eval time,setting
flickr,BLIP,none,65.54411016192,1.0,96.9,99.8,100.0,87.48,97.6,98.98,580.76,0,77.4275426864624,none
flickr,BLIP,pitome,41.60941535232,0.925,94.6,99.1,99.9,83.84,96.66,98.36,573.46,0,48.1366240978241,pitome
flickr,BLIP,pitome,48.12842176512,0.95,95.8,99.7,100.0,86.28,97.32,98.72,577.8199999999999,0,56.14332914352417,pitome
flickr,BLIP,pitome,51.92102572032,0.9625,96.4,99.5,100.0,86.88,97.62,98.8,579.1999999999999,0,60.256752014160156,pitome
flickr,BLIP,pitome,56.01276997632,0.975,96.5,99.8,100.0,87.42,97.56,98.82,580.1,0,64.09631848335266,pitome
flickr,BLIP,pitome,41.60941535232,0.925,74.8,91.5,94.6,66.72,87.46,92.16,507.24,0,48.12057709693909,pitome w cls attn
flickr,BLIP,pitome,48.12842176512,0.95,79.9,92.8,96.9,71.48,90.22,94.34,525.6400000000001,0,56.14818859100342,pitome w cls attn
flickr,BLIP,pitome,51.92102572032,0.9625,83.0,95.0,98.3,74.86,92.38,95.58,539.12,0,60.391125440597534,pitome w cls attn
flickr,BLIP,pitome,56.01276997632,0.975,87.0,97.1,98.9,78.12,93.52,96.7,551.34,0,64.16526103019714,pitome w cls attn
flickr,BLIP,pitome,41.60941535232,0.925,91.9,99.1,99.8,81.54,95.7,97.96,566.0,0,48.28041410446167,pitome w attn
flickr,BLIP,pitome,48.12842176512,0.95,93.6,99.0,99.8,83.92,96.56,98.3,571.18,0,56.27873992919922,pitome w attn
flickr,BLIP,pitome,51.92102572032,0.9625,93.7,99.1,99.9,84.08,96.72,98.48,571.98,0,60.452842235565186,pitome w attn
flickr,BLIP,pitome,56.01276997632,0.975,93.9,99.1,99.8,84.54,96.78,98.5,572.62,0,64.32074761390686,pitome w attn
flickr,BLIP,pitome,53.63169042432,0.95,96.8,99.7,100.0,86.88,97.62,98.76,579.76,0,61.432589054107666, pitome use k
flickr,BLIP,pitome,50.71576276992,0.95,96.2,99.6,100.0,86.42,97.32,98.64,578.1800000000001,0,57.95977067947388, pitome use k
flickr,BLIP,pitome,47.82470602752,0.95,96.0,99.6,100.0,85.38,97.12,98.54,576.64,0,54.31218409538269, pitome use k
flickr,BLIP,pitome,41.41076262912,0.95,93.8,99.0,99.8,82.42,96.02,98.0,569.04,0,44.33214521408081, pitome use k
flickr,BLIP,tome,41.84642414592,0.925,86.5,95.9,97.5,76.12,92.56,95.94,544.52,0,48.86042785644531,tome
flickr,BLIP,tome,48.35886600192,0.95,90.0,97.3,99.1,79.5,94.48,97.06,557.44,0,56.4327871799469,tome
flickr,BLIP,tome,52.12266442752001,0.9625,91.8,98.4,99.3,80.98,95.36,97.62,563.46,0,61.16560626029968,tome
flickr,BLIP,tome,56.17120038912,0.975,93.3,98.5,99.5,82.6,95.92,98.02,567.84,0,66.03054642677307,tome
flickr,BLIP,tome,41.41076262912,0.95,83.1,94.8,97.2,74.08,92.1,95.46,536.74,0,43.84414196014404,tome use k
flickr,BLIP,tome,48.545138565120006,0.95,89.0,97.1,99.0,78.64,94.26,97.14,555.14,0,54.260324001312256,tome use k
flickr,BLIP,tome,52.170617733120004,0.95,91.5,98.1,99.3,79.86,95.14,97.34,561.24,0,59.47820329666138,tome use k
flickr,BLIP,tome,56.034957701120004,0.975,92.9,98.6,99.4,81.98,95.96,97.8,566.64,0,63.72703695297241,tome use k
